,,,Salary,Salary,Salary,Salary,Salary,Salary,,
271,Nickeil Alexander-Walker\alexani01,NOP,$2964840,$3113160,$3261480,$5009633,,,1st Round Pick,$6078000
272,D.J. Wilson\wilsodj01,MIL,$2961120,$4548280,,,,,1st Round Pick,$7509400
273,Cedi Osman\osmande01,CLE,$2907143,$8750000,$8050000,$7350000,$6650000,,MLE,$27057143
274,Donte DiVincenzo\divindo01,MIL,$2905800,$3044160,$4675830,,,,1st Round Pick,$5949960
275,Bryn Forbes\forbebr01,SAS,$2875000,,,,,,Early Bird Rights,$2875000
276,Andrew Nicholson\nichoan01,POR,$2844429,$2844429,$2844429,$2844429,$2844429,,,$14222145
277,Goga Bitadze\bitadgo01,IND,$2816760,$2957520,$3098400,$4765339,,,1st Round Pick,$5774280
278,T.J. Leaf\leaftj01,IND,$2813280,$4326825,,,,,1st Round Pick,$7140105
279,Lonnie Walker\walkelo01,SAS,$2760480,$2892000,$4447896,,,,1st Round Pick,$5652480
280,Alex Caruso\carusal01,LAL,$2750000,$2750000,,,,,,$5500000
281,Malik Beasley\beaslma01,DEN,$2731714,,,,,,1st Round pick,$2731714
282,Luka Šamanić\samanlu01,SAS,$2689920,$2824320,$2959080,$4556983,,,1st Round Pick,$5514240
283,John Collins\collijo01,ATL,$2686560,$4137302,,,,,1st Round Pick,$6823862
284,Kevin Huerter\huertke01,ATL,$2636280,$2761920,$4253357,,,,1st Round Pick,$5398200
285,Caris LeVert\leverca01,BRK,$2625718,$16203704,$17500000,$18796296,,,1st Round pick,$55125718
286,Marko Guduric\gudurma01,MEM,$2625000,$2750000,,,,,Bi-annual Exception,$5375000
287,DeAndre' Bembry\bembrde01,ATL,$2603982,,,,,,1st Round pick,$2603982
288,Matisse Thybulle\thybuma01,PHI,$2582160,$2711280,$2840160,$4379527,,,1st Round Pick,$5293440
289,Harry Giles\gilesha01,SAC,$2578800,,,,,,1st Round Pick,$2578800
290,Jeff Green\greenje02,UTA,$2564753,,,,,,Minimum Salary,$2564753
291,Pau Gasol\gasolpa01,POR,$2564753,,,,,,,$2564753
292,Anthony Tolliver\tollian01,POR,$2564753,,,,,,Minimum Salary,$2564753
293,Wesley Matthews\matthwe02,MIL,$2564753,$2692991,,,,,,$2564753
294,Kyle Korver\korveky01,MIL,$2564753,,,,,,Minimum Salary,$2564753
295,Udonis Haslem\hasleud01,MIA,$2564753,,,,,,Minimum Salary,$2564753
